Fixed,Uniform,Breit-Wigner,sample_sizes
4730.508690679425,4567.552649790978,771.5770911368066,10
3183.307038159452,3412.9842275055557,548.9689404085833,16
2423.6150388090396,2596.65211832413,439.71570358839836,25
1701.8969041820149,2065.4027980485107,397.26161554047866,41
1275.464028822229,1629.0644330624093,376.25138192809493,67
1134.1346876834066,1177.9047796238704,285.2458321457486,108
837.3766897432223,870.1440400513794,220.6781530426111,174
662.6286922086563,689.6403602084551,185.69864331549437,280
535.6190183264031,555.6468294055518,146.9999719286999,452
446.047365395517,441.69282848781165,120.6220308051067,727
366.20990183419053,352.46903586945183,93.27737156395203,1172
287.23171129824175,286.1791776881851,72.49158861365268,1887
223.25001783701708,227.7076716811501,57.65730431331719,3039
179.3994029750673,179.40030964759674,45.14799456865509,4893
142.71459793122247,140.3479225171035,35.639895500349134,7880
112.6095571716214,110.93877667413568,28.107062396936417,12689
88.90703114166696,87.625577088567,22.24892361554257,20433
70.0871731838349,69.60850271073457,17.581896999521046,32903
55.49884455650154,54.957525240633686,13.864634894486787,52983
43.71391915163283,43.099916963787216,10.871896137420894,85316
34.400525098763126,33.83083743669594,8.55396265673435,137382
27.091827699953786,26.673248548686665,6.750172397505861,221221
21.346191144349344,20.991395747484543,5.322186827619988,356224
16.805720317291623,16.523393684575886,4.194120993835135,573615
13.260892148358996,13.035507643899594,3.3048836753843447,923670
10.44793817204813,10.26796218827676,2.604316091434655,1487352
8.23562702928742,8.086487703820836,2.0523554516046185,2395026
6.490810783518942,6.368133131356816,1.6172199276991752,3856620
5.1154476274740865,5.0159286289182,1.2742802342280777,6210169
4.031108393026792,3.953998841717809,1.0041694166555657,10000000
