sample_sizes,mc_errors
10,4730.508690679425
16,3183.307038159452
25,2423.6150388090396
41,1701.8969041820149
67,1275.464028822229
108,1134.1346876834066
174,837.3766897432223
280,662.6286922086563
452,535.6190183264031
727,446.047365395517
1172,366.20990183419053
1887,287.23171129824175
3039,223.25001783701708
4893,179.3994029750673
7880,142.71459793122247
12689,112.6095571716214
20433,88.90703114166696
32903,70.0871731838349
52983,55.49884455650154
85316,43.71391915163283
137382,34.400525098763126
221221,27.091827699953786
356224,21.346191144349344
573615,16.805720317291623
923670,13.260892148358996
1487352,10.44793817204813
2395026,8.23562702928742
3856620,6.490810783518942
6210169,5.1154476274740865
10000000,4.031108393026792
